year,reg_sk,sex_sk,age,dr
1989,1105,2,0,0.012983
1989,1105,2,1,8.6e-4
1989,1105,2,5,3.21e-4
1989,1105,2,10,2.2e-4
1989,1105,2,15,8.56e-4
1989,1105,2,20,7.27e-4
1989,1105,2,25,7.86e-4
1989,1105,2,30,0.001193
1989,1105,2,35,0.001642
1989,1105,2,40,0.002368
1989,1105,2,45,0.00418
1989,1105,2,50,0.006144
1989,1105,2,55,0.010619
1989,1105,2,60,0.015769
1989,1105,2,65,0.026017
1989,1105,2,70,0.042741
1989,1105,2,75,0.072628
1989,1105,2,80,0.112786
1989,1105,2,85,0.226798
1989,1105,3,0,0.016177
1989,1105,3,1,0.001073
1989,1105,3,5,6.07e-4
1989,1105,3,10,4.05e-4
1989,1105,3,15,0.00168
1989,1105,3,20,0.001985
1989,1105,3,25,0.002279
1989,1105,3,30,0.00288
1989,1105,3,35,0.003564
1989,1105,3,40,0.005224
1989,1105,3,45,0.008283
1989,1105,3,50,0.010607
1989,1105,3,55,0.016869
1989,1105,3,60,0.024052
1989,1105,3,65,0.033471
1989,1105,3,70,0.052232
1989,1105,3,75,0.083775
1989,1105,3,80,0.12471
1989,1105,3,85,0.223511
1989,1107,1,0,0.02541
1989,1107,1,1,0.001296
1989,1107,1,5,6.88e-4
1989,1107,1,10,6.42e-4
1989,1107,1,15,0.001618
1989,1107,1,20,0.003094
1989,1107,1,25,0.003619
1989,1107,1,30,0.004371
1989,1107,1,35,0.005687
1989,1107,1,40,0.007734
1989,1107,1,45,0.011974
1989,1107,1,50,0.01608
1989,1107,1,55,0.024224
1989,1107,1,60,0.033196
1989,1107,1,65,0.046538
1989,1107,1,70,0.069751
1989,1107,1,75,0.105734
1989,1107,1,80,0.16123
1989,1107,1,85,0.277866
1989,1107,2,0,0.017969
1989,1107,2,1,9.12e-4
1989,1107,2,5,3.95e-4
1989,1107,2,10,4.16e-4
1989,1107,2,15,8.5e-4
1989,1107,2,20,9.18e-4
1989,1107,2,25,0.001108
1989,1107,2,30,0.001326
1989,1107,2,35,0.001683
1989,1107,2,40,0.002281
1989,1107,2,45,0.003735
1989,1107,2,50,0.006079
1989,1107,2,55,0.008937
1989,1107,2,60,0.013606
1989,1107,2,65,0.022111
1989,1107,2,70,0.040592
1989,1107,2,75,0.067704
1989,1107,2,80,0.111826
1989,1107,2,85,0.227303
1989,1107,3,0,0.021782
1989,1107,3,1,0.001108
1989,1107,3,5,5.45e-4
1989,1107,3,10,5.31e-4
1989,1107,3,15,0.001236
1989,1107,3,20,0.001997
1989,1107,3,25,0.002355
1989,1107,3,30,0.002841
1989,1107,3,35,0.003661
1989,1107,3,40,0.004907
1989,1107,3,45,0.007547
1989,1107,3,50,0.010736
1989,1107,3,55,0.015914
1989,1107,3,60,0.021614
1989,1107,3,65,0.030125
1989,1107,3,70,0.049378
1989,1107,3,75,0.078101
1989,1107,3,80,0.12358
1989,1107,3,85,0.237577
1989,1108,1,0,0.021072
1989,1108,1,1,0.001035
1989,1108,1,5,6.32e-4
1989,1108,1,10,6.75e-4
1989,1108,1,15,0.002442
1989,1108,1,20,0.002864
1989,1108,1,25,0.00371
1989,1108,1,30,0.00451
1989,1108,1,35,0.005229
1989,1108,1,40,0.00734
1989,1108,1,45,0.012114
1989,1108,1,50,0.017101
1989,1108,1,55,0.027008
1989,1108,1,60,0.0375
1989,1108,1,65,0.052148
1989,1108,1,70,0.076123
1989,1108,1,75,0.116243
1989,1108,1,80,0.163049
1989,1108,1,85,0.294083
1989,1108,2,0,0.014736
1989,1108,2,1,9.55e-4
1989,1108,2,5,4.55e-4
1989,1108,2,10,4.17e-4
1989,1108,2,15,6.23e-4
1989,1108,2,20,7.02e-4
1989,1108,2,25,7.77e-4
1989,1108,2,30,9.03e-4
1989,1108,2,35,0.001842
1989,1108,2,40,0.002697
1989,1108,2,45,0.003419
1989,1108,2,50,0.005818
1989,1108,2,55,0.010018
1989,1108,2,60,0.017502
1989,1108,2,65,0.026297
1989,1108,2,70,0.045912
1989,1108,2,75,0.072545
1989,1108,2,80,0.117146
1989,1108,2,85,0.207957
1989,1108,3,0,0.017961
1989,1108,3,1,9.96e-4
1989,1108,3,5,5.45e-4
1989,1108,3,10,5.48e-4
1989,1108,3,15,0.001603
1989,1108,3,20,0.001871
1989,1108,3,25,0.002347
1989,1108,3,30,0.00279
1989,1108,3,35,0.003588
1989,1108,3,40,0.005073
1989,1108,3,45,0.007747
1989,1108,3,50,0.011202
1989,1108,3,55,0.017443
1989,1108,3,60,0.025583
1989,1108,3,65,0.034446
1989,1108,3,70,0.056089
1989,1108,3,75,0.087069
1989,1108,3,80,0.128749
1989,1108,3,85,0.225672
1989,1110,1,0,0.019778
1989,1110,1,1,0.001437
1989,1110,1,5,8.87e-4
1989,1110,1,10,0.00064899999999999995
1989,1110,1,15,0.003062
1989,1110,1,20,0.002754
1989,1110,1,25,0.00329
1989,1110,1,30,0.003839
1989,1110,1,35,0.005203
1989,1110,1,40,0.006482
1989,1110,1,45,0.010837
1989,1110,1,50,0.01487
1989,1110,1,55,0.023804
1989,1110,1,60,0.033656
1989,1110,1,65,0.048393
1989,1110,1,70,0.069703
1989,1110,1,75,0.094632
1989,1110,1,80,0.163694
1989,1110,1,85,0.19570100000000001
1989,1110,2,0,0.013558
1989,1110,2,1,0.001017
1989,1110,2,5,3.51e-4
1989,1110,2,10,3.66e-4
1989,1110,2,15,8.18e-4
1989,1110,2,20,7.93e-4
1989,1110,2,25,8.8e-4
1989,1110,2,30,0.00105
1989,1110,2,35,0.001336
1989,1110,2,40,0.002673
1989,1110,2,45,0.004379
1989,1110,2,50,0.006196
1989,1110,2,55,0.009446
1989,1110,2,60,0.01552
1989,1110,2,65,0.02624
1989,1110,2,70,0.04006
1989,1110,2,75,0.069565
1989,1110,2,80,0.11079
1989,1110,2,85,0.188107
1989,1110,3,0,0.01672
1989,1110,3,1,0.001231
1989,1110,3,5,6.22e-4
