year,reg_sk,sex_sk,esp_year,age_sk,sdr
1989,1111,3,1976,15,3.01
1989,1111,3,1976,50,15.07
1989,1111,3,1976,65,67.2
1989,1111,3,1976,999,11.96
1989,1111,3,2013,0,1.56
1989,1111,3,2013,15,3.14
1989,1111,3,2013,50,15.45
1989,1111,3,2013,65,77.94
1989,1111,3,2013,999,19.87
1989,1112,1,1976,0,2.32
1989,1112,1,1976,15,4.8
1989,1112,1,1976,50,22.86
1989,1112,1,1976,65,89.25
1989,1112,1,1976,999,16.8
1989,1112,1,2013,0,2.12
1989,1112,1,2013,15,4.99
1989,1112,1,2013,50,23.41
1989,1112,1,2013,65,101.7
1989,1112,1,2013,999,26.98
1989,1112,2,1976,0,1.4
1989,1112,2,1976,15,1.51
1989,1112,2,1976,50,8.37
1989,1112,2,1976,65,56.85
1989,1112,2,1976,999,8.81
1989,1112,2,2013,0,1.25
1989,1112,2,2013,15,1.57
1989,1112,2,2013,50,8.58
1989,1112,2,2013,65,66.93
1989,1112,2,2013,999,15.63
1989,1112,3,1976,0,1.87
1989,1112,3,1976,15,3.17
1989,1112,3,1976,50,14.73
1989,1112,3,1976,65,65.27
1989,1112,3,1976,999,11.79
1989,1112,3,2013,0,1.69
1989,1112,3,2013,15,3.29
1989,1112,3,2013,50,15.06
1989,1112,3,2013,65,75.58
1989,1112,3,2013,999,19.42
1989,1114,1,1976,0,2.02
1989,1114,1,1976,15,4.65
1989,1114,1,1976,50,20.72
1989,1114,1,1976,65,82.1
1989,1114,1,1976,999,15.48
1989,1114,1,2013,0,1.79
1989,1114,1,2013,15,4.83
1989,1114,1,2013,50,21.11
1989,1114,1,2013,65,93.41
1989,1114,1,2013,999,24.79
1989,1114,2,1976,0,1.14
1989,1114,2,1976,15,1.38
1989,1114,2,1976,50,7.42
1989,1114,2,1976,65,51.29
1989,1114,2,1976,999,7.9
1989,1114,2,2013,0,1.02
1989,1114,2,2013,15,1.44
1989,1114,2,2013,50,7.6
1989,1114,2,2013,65,61.29
1989,1114,2,2013,999,14.25
1989,1114,3,1976,0,1.59
1989,1114,3,1976,15,2.97
1989,1114,3,1976,50,13.18
1989,1114,3,1976,65,59.07
1989,1114,3,1976,999,10.68
1989,1114,3,2013,0,1.41
1989,1114,3,2013,15,3.1
1989,1114,3,2013,50,13.41
1989,1114,3,2013,65,69.12
1989,1114,3,2013,999,17.72
1989,1115,1,1976,0,1.78
1989,1115,1,1976,15,5.24
1989,1115,1,1976,50,20.52
1989,1115,1,1976,65,84.6
1989,1115,1,1976,999,15.96
1989,1115,1,2013,0,1.6
1989,1115,1,2013,15,5.47
1989,1115,1,2013,50,20.96
1989,1115,1,2013,65,96.33
1989,1115,1,2013,999,25.59
1989,1115,2,1976,0,1.43
1989,1115,2,1976,15,1.22
1989,1115,2,1976,50,7.64
1989,1115,2,1976,65,53.31
1989,1115,2,1976,999,8.15
1989,1115,2,2013,0,1.28
1989,1115,2,2013,15,1.27
1989,1115,2,2013,50,7.87
1989,1115,2,2013,65,63.59
1989,1115,2,2013,999,14.71
1989,1115,3,1976,0,1.61
1989,1115,3,1976,15,3.21
1989,1115,3,1976,50,13.03
1989,1115,3,1976,65,60.97
1989,1115,3,1976,999,10.98
1989,1115,3,2013,0,1.44
1989,1115,3,2013,15,3.35
1989,1115,3,2013,50,13.31
1989,1115,3,2013,65,71.31
1989,1115,3,2013,999,18.24
1989,1117,1,1976,0,1.95
1989,1117,1,1976,15,4.97
1989,1117,1,1976,50,24.25
1989,1117,1,1976,65,91.41
1989,1117,1,1976,999,17.29
1989,1117,1,2013,0,1.77
1989,1117,1,2013,15,5.2
1989,1117,1,2013,50,24.77
1989,1117,1,2013,65,103.54
1989,1117,1,2013,999,27.64
1989,1117,2,1976,0,1.36
1989,1117,2,1976,15,1.32
1989,1117,2,1976,50,8.43
1989,1117,2,1976,65,55.46
1989,1117,2,1976,999,8.56
1989,1117,2,2013,0,1.21
1989,1117,2,2013,15,1.38
1989,1117,2,2013,50,8.68
1989,1117,2,2013,65,65.8
1989,1117,2,2013,999,15.34
1989,1117,3,1976,0,1.66
1989,1117,3,1976,15,3.09
1989,1117,3,1976,50,15.18
1989,1117,3,1976,65,63.85
1989,1117,3,1976,999,11.64
1989,1117,3,2013,0,1.49
1989,1117,3,2013,15,3.23
1989,1117,3,2013,50,15.51
1989,1117,3,2013,65,74.15
1989,1117,3,2013,999,19.18
1989,1118,1,1976,0,2.18
1989,1118,1,1976,15,4.45
1989,1118,1,1976,50,21.1
1989,1118,1,1976,65,80.37
1989,1118,1,1976,999,15.3
1989,1118,1,2013,0,1.96
1989,1118,1,2013,15,4.65
1989,1118,1,2013,50,21.58
1989,1118,1,2013,65,90.96
1989,1118,1,2013,999,24.35
1989,1118,2,1976,0,1.62
1989,1118,2,1976,15,1.4
1989,1118,2,1976,50,7.64
1989,1118,2,1976,65,52.57
1989,1118,2,1976,999,8.2
1989,1118,2,2013,0,1.43
1989,1118,2,2013,15,1.47
1989,1118,2,2013,50,7.86
1989,1118,2,2013,65,62.06
1989,1118,2,2013,999,14.52
1989,1118,3,1976,0,1.9
1989,1118,3,1976,15,2.9
1989,1118,3,1976,50,13.56
1989,1118,3,1976,65,60.3
1989,1118,3,1976,999,10.91
1989,1118,3,2013,0,1.7
1989,1118,3,2013,15,3.03
1989,1118,3,2013,50,13.87
1989,1118,3,2013,65,69.84
1989,1118,3,2013,999,17.96
1989,1119,1,1976,0,2
1989,1119,1,1976,15,4.98
1989,1119,1,1976,50,22.22
1989,1119,1,1976,65,90.96
1989,1119,1,1976,999,16.88
1989,1119,1,2013,0,1.81
